Date,AAPL,AXP,NKE,CVX,JNJ,F,ALK
2013-12-02,70.69517517089844,77.3403091430664,35.73310089111328,95.16272735595705,79.4616470336914,12.321710586547852,34.31003189086914
2013-12-03,72.63044738769531,76.72369384765625,35.75117111206055,95.30274963378906,79.20038604736328,11.960582733154295,33.82396697998047
2013-12-04,72.46116638183594,76.62395477294922,35.611114501953125,94.71934509277344,78.9137954711914,12.003920555114744,33.25762939453125
2013-12-05,72.8331069946289,76.66022491455078,35.66985321044922,94.19818115234376,78.35755920410156,12.090590476989744,33.18627548217773
2013-12-06,71.82247924804688,77.9206771850586,36.08099365234375,95.12383270263672,79.59651184082031,12.061700820922852,32.780479431152344
2013-12-09,72.64457702636719,77.75746154785156,36.04484939575195,95.9405746459961,79.59651184082031,11.960582733154295,33.31114959716797
2013-12-10,72.53170776367188,77.3403091430664,35.79183959960937,96.1894989013672,79.34366607666016,11.93891716003418,33.01237106323242
2013-12-11,71.99433898925781,76.07987213134766,34.716541290283196,94.9760284423828,78.4755630493164,11.852242469787598,32.762638092041016
2013-12-12,71.88919067382812,75.53578186035156,34.65743637084961,94.11260986328124,76.83203887939453,11.837797164916992,32.24535369873047
2013-12-13,71.1055679321289,75.88037872314453,34.7347412109375,93.2647476196289,76.99217224121094,11.982251167297365,32.209686279296875
2013-12-16,71.49931335449219,76.64207458496094,34.752918243408196,93.51365661621094,77.00902557373047,12.177261352539062,32.218605041503906
2013-12-17,71.17739868164062,76.27027130126953,34.89841079711914,92.3624267578125,76.41061401367188,12.061700820922852,31.518482208251953
2013-12-18,70.63617706298828,77.9750747680664,35.712215423583984,94.5871124267578,78.07942962646484,11.303329467773438,31.531877517700195
2013-12-19,69.82693481445311,78.35591125488281,35.58036804199219,95.84723663330078,77.52313995361328,11.050539016723633,31.469444274902344
2013-12-20,70.41173553466797,79.40779876708984,35.162097930908196,95.50495147705078,77.61583709716797,11.137207984924316,32.77602005004883
2013-12-23,73.11397552490234,80.07882690429688,35.05752182006836,95.52052307128906,77.56531524658203,10.94219970703125,32.254283905029304
2013-12-24,72.80360412597656,80.42340087890625,35.307586669921875,96.07279205322266,77.59058380126953,10.971091270446776,32.615493774414055
2013-12-26,72.3200912475586,80.70452117919922,35.548545837402344,97.0840072631836,77.99513244628906,11.0722074508667,32.4727783203125
2013-12-27,71.8314437866211,80.87681579589844,35.534912109375,97.41072082519531,77.83501434326172,11.050539016723633,32.11157989501953
2013-12-30,71.11712646484375,81.2395248413086,35.798583984375,96.6328582763672,77.7928466796875,11.036093711853027,32.12497329711914
2013-12-31,71.95076751708984,82.27326965332031,35.75312423706055,97.16181182861328,77.1944580078125,11.144432067871094,32.718055725097656
