Date,High,Low,Open,Close,Volume,Adj Close
2019-11-18,135.69000244140625,132.66000366210938,134.22000122070312,134.8300018310547,9291800.0,133.05384826660156
2019-11-19,135.19000244140625,134.2100067138672,135.0,134.82000732421875,5192200.0,133.04397583007812
2019-11-20,136.33999633789062,134.07000732421875,135.11000061035156,135.94000244140625,7594400.0,134.14923095703125
2019-11-21,136.85000610351562,135.0,135.94000244140625,136.44000244140625,6424900.0,134.6426544189453
2019-11-22,138.6300048828125,136.5,136.64999389648438,138.07000732421875,9235800.0,136.2511749267578
2019-11-25,137.64999389648438,136.24000549316406,137.05999755859375,137.17999267578125,6111900.0,136.31077575683594
2019-11-26,137.33999633789062,135.14999389648438,136.47000122070312,137.1699981689453,10636500.0,136.3008575439453
2019-11-27,138.25,136.89999389648438,137.16000366210938,137.75,5523000.0,136.87718200683594
2019-11-29,138.27000427246094,136.94000244140625,137.60000610351562,137.49000549316406,3278900.0,136.61883544921875
2019-12-02,137.85000610351562,136.85000610351562,137.72000122070312,137.36000061035156,4717100.0,136.48965454101562
2019-12-03,137.4499969482422,136.16000366210938,136.91000366210938,137.16000366210938,5741400.0,136.29092407226562
2019-12-04,139.74000549316406,138.0399932861328,138.5,139.3800048828125,7257300.0,138.49685668945312
2019-12-05,139.75,137.9499969482422,139.35000610351562,139.55999755859375,5472900.0,138.6757049560547
2019-12-06,141.5800018310547,139.4600067138672,139.4600067138672,140.3800048828125,6640400.0,139.4905242919922
2019-12-09,140.80999755859375,140.05999755859375,140.38999938964844,140.5,4241000.0,139.60975646972656
2019-12-10,141.0,139.91000366210938,140.8000030517578,139.99000549316406,5310300.0,139.10299682617188
2019-12-11,141.97999572753906,140.6300048828125,140.92999267578125,140.97999572753906,6631500.0,140.0867156982422
2019-12-12,142.05999755859375,140.72999572753906,141.32000732421875,141.33999633789062,5012400.0,140.44442749023438
2019-12-13,141.8000030517578,140.30999755859375,141.10000610351562,141.3800048828125,4257200.0,140.4841766357422
2019-12-16,142.85000610351562,141.49000549316406,141.72999572753906,141.7899932861328,5353100.0,140.89157104492188
