Date,AAPL,AXP,NKE,CVX,JNJ,F,ALK
2019-11-18,266.46759033203125,118.58795166015624,93.67499542236328,117.18040466308594,133.05384826660156,8.800334930419922,69.66492462158203
2019-11-19,265.65951538085943,118.9249038696289,93.10804748535156,115.10466003417969,133.04397583007812,8.75117015838623,69.67487335205078
2019-11-20,262.56686401367193,118.2311782836914,92.55106353759766,115.984375,134.14923095703122,8.584012985229492,68.05406188964844
2019-11-21,261.3896484375,117.73564910888672,91.66583251953124,117.39785766601562,134.64265441894528,8.564348220825195,67.61654663085939
2019-11-22,261.16018676757807,117.99331665039062,92.83949279785156,117.2594757080078,136.25117492675778,8.741338729858397,68.37226104736328
2019-11-25,265.73931884765625,119.51952362060548,92.40186309814452,117.01235961914062,136.31077575683594,8.849498748779297,68.40209197998047
2019-11-26,263.66424560546875,118.71678161621094,92.82955932617188,116.42918395996094,136.30085754394528,8.859331130981445,69.04842376708984
2019-11-27,267.20584106445307,119.25194549560548,93.6352081298828,116.70594787597656,136.87718200683594,8.947826385498047,68.77994537353516
2019-11-29,266.61724853515625,119.04383087158205,93.23133087158205,115.77680206298828,136.61883544921878,8.908495903015137,68.620849609375
2019-12-02,263.5345458984375,116.2094497680664,93.30113983154295,115.45062255859376,136.48965454101562,8.859331130981445,67.72592163085939
2019-12-03,258.83572387695307,115.525634765625,92.20418548583984,114.55113220214844,136.29092407226562,8.741338729858397,66.23438262939453
2019-12-04,261.12026977539057,116.88336181640624,93.46070098876952,115.58900451660156,138.49685668945312,8.800334930419922,66.54263305664061
2019-12-05,264.951171875,117.2203140258789,95.52497100830078,114.98604583740234,138.67570495605472,8.780669212341309,66.91054534912111
2019-12-06,270.06903076171875,119.52943420410156,96.73162078857422,116.64664459228516,139.49052429199222,8.86916446685791,67.93473815917969
2019-12-09,266.2880249023437,119.38078308105469,96.36264038085938,115.9448471069336,139.60975646972656,8.859331130981445,67.60659790039061
2019-12-10,267.84432983398443,119.81683349609376,96.74159240722656,116.52802276611328,139.10299682617188,8.918327331542969,66.86082458496094
2019-12-11,270.12890625,119.55916595458984,96.91112518310548,114.88720703125,140.08671569824222,8.957658767700195,66.3636474609375
2019-12-12,270.8172607421875,121.54125213623048,97.44963073730469,117.43739318847656,140.44442749023438,9.16414737701416,67.30829620361328
2019-12-13,274.49853515625,123.60261535644531,97.4994888305664,116.5972137451172,140.48417663574222,9.07565212249756,67.02987670898439
2019-12-16,279.19735717773443,122.57192993164062,98.53661346435548,117.98104095458984,140.89157104492188,9.232976913452148,68.61090087890625
2019-12-17,279.74609375,123.83055114746094,99.3742904663086,117.22982025146484,142.65036010742188,9.232976913452148,69.66492462158203
2019-12-18,279.07766723632807,123.14673614501952,100.29174041748048,117.18040466308594,142.28271484375,9.380468368530273,68.64073181152344
2019-12-19,279.35699462890625,123.7116241455078,100.8701400756836,116.76525115966795,144.4290313720703,9.252642631530762,68.80977630615234
2019-12-20,278.77838134765625,124.64320373535156,99.68343353271484,118.29734802246094,145.134521484375,9.321471214294434,68.94898223876953
2019-12-23,283.32757568359375,123.37467193603516,99.76321411132812,118.93983459472656,145.51211547851562,9.282140731811523,68.89926910400389
